taxon	date
W_Ireland_367_13361	13361
D_Turkey_AL2022_1508	1508
W_Kazakhstan_AL2350_5162	5162
W_Belgium_AL2541_34366	34366
D_Iran_AL2571_5820	5820
U_Russia_AL2657_17619	17619
W_Russia_AL2744_28511	28511
D_Turkey_AL2921_15837	15837
D_Serbia_AL2946_5820	5820
W_Romania_AL3185_6434	6434
D_USA_AL3223_879	879
D_Russia_C26_7022	7022
D_Russia_C27_7357	7357
D_Sweden_C62_3105	3105
D_Sweden_C94_4019	4019
W_Russia_CGG17_28766	28766
W_Russia_CGG19_19692	19692
W_Russia_CGG20_13688	13688
W_Russia_CGG21_13983	13983
W_Russia_CGG23_33291	33291
W_Russia_CGG25_31529	31529
W_Russia_CGG26_31490	31490
W_Russia_CGG27_33031	33031
W_Russia_CGG28_31815	31815
W_Russia_CGG29_47124	47124
W_Russia_CGG33_16907	16907
W_Russia_CGG34_29937	29937
D_Russia_CGG6_9513	9513
D_Germany_CTC_13440	13440
D_Russia_F3781_75	75
W_Germany_JK2174_31526	31526
W_Germany_JK2175_33453	33453
W_Germany_JK2179_13263	13263
W_Germany_JK2181_15453	15453
W_Germany_JK2183_32578	32578
D_China_L4386_3826	3826
D_China_L6013_1666	1666
W_Russia_LOW002_33100	33100
W_Russia_LOW003_43879	43879
W_Russia_LOW006_34828	34828
W_Russia_LOW007_29548	29548
D_Ireland_Newgrange_4767	4767
D_Russia_OL4061_10928	10928
D_Greece_OL4222_6542	6542
D_Peru_SC1061_769	769
W_Canada_SC19.MCJ010_30039	30039
W_Canada_SC19.MCJ014_29390	29390
W_Canada_SC19.MCJ015_44222	44222
D_Croatia_SOTN01_4748	4748
W_Russia_Taimyr-1_35313	35313
W_France_TU839_10040	10040
W_France_TU840_9668	9668
D_China_V0134_1661	1661
D_China_V0135_1880	1880
D_China_V0136_1664	1664
D_China_V0489_3879	3879
D_China_V0492_8467	8467
D_China_V0509_2244	2244
D_China_V0513_3035	3035
D_China_V0517_3417	3417
D_China_V0521_3432	3432
D_China_V0532_2994	2994
D_China_V0542_4775	4775
D_China_V1472_8101	8101
D_China_V1481_2269	2269
D_China_V1482_2734	2734
W_Russia_Yana-1_28258	28258
D_Czech_AL3203_4798	4798
W_Ireland_IRK_13260	13260
D_UK_DS-CANIS-NMW-005_1843	1843
W_Russia_Wolf_head_IN18-016_32234	32234
W_Russia_IN18-005_18274	18274
W_Russia_WOL-VAL-08_33899	33899
D_Canada_AL3194_4711	4711
